observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,pca_0p99,256,11,10.75,204.796875,256,6.0,0.9929807437696223,256,0.5740762019550406,-0.008516320637322406,0.7665658499935414,1.5933520008330735,0.52734375
smf_z0,pca_0p99,256,12,11.0,204.796875,256,6.0,0.9929807437696223,256,0.6627590117637058,-0.01611430877669933,0.7433773074411403,1.6079875765573548,0.4609375
smf_z0,pca_0p99,256,13,11.25,204.796875,256,6.0,0.9929807437696223,256,0.6931843170761697,-0.0216839440226154,0.7069325756400877,1.4393392929683622,0.515625
smf_z0,pca_0p99,512,0,8.0,409.59765625,512,6.0,0.9925253822060193,512,0.12749913331412277,-0.0010351045220270381,0.7630857473796577,1.1122507646084854,0.771484375
smf_z0,pca_0p99,512,1,8.25,409.59765625,512,6.0,0.9925253822060193,512,0.08163071239335344,-0.0009282571727933027,0.7318776425089207,1.3309033184240378,0.73828125
smf_z0,pca_0p99,512,2,8.5,409.59765625,512,6.0,0.9925253822060193,512,0.056497646241436744,-0.00017762180067641643,0.8768337933246325,1.0525982009434334,0.76953125
smf_z0,pca_0p99,512,3,8.75,409.59765625,512,6.0,0.9925253822060193,512,0.058372851779172,0.000921045001493025,0.9181863608146603,0.980236022146636,0.748046875
smf_z0,pca_0p99,512,4,9.0,409.59765625,512,6.0,0.9925253822060193,512,0.07564211148059775,0.0015575101528723045,0.9162937824822336,1.0487646435913334,0.78125
smf_z0,pca_0p99,512,5,9.25,409.59765625,512,6.0,0.9925253822060193,512,0.09078906901108008,0.0017850142000586386,0.9261275540519747,1.1139693689052697,0.732421875
smf_z0,pca_0p99,512,6,9.5,409.59765625,512,6.0,0.9925253822060193,512,0.11603930641534624,0.001610721933174841,0.9261813891035127,1.1983084110954936,0.69921875
smf_z0,pca_0p99,512,7,9.75,409.59765625,512,6.0,0.9925253822060193,512,0.1573015084356756,0.0016399533903076607,0.9124880156238115,1.2459978629061483,0.6640625
smf_z0,pca_0p99,512,8,10.0,409.59765625,512,6.0,0.9925253822060193,512,0.2132684512928434,0.002793967194121237,0.8947132049591552,1.345729167726834,0.609375
smf_z0,pca_0p99,512,9,10.25,409.59765625,512,6.0,0.9925253822060193,512,0.2860487869450926,0.004873737957812284,0.8774152268034494,1.4620879358524053,0.595703125
smf_z0,pca_0p99,512,10,10.5,409.59765625,512,6.0,0.9925253822060193,512,0.3834885699416365,0.007266646203840284,0.856504796063735,1.5371344728590033,0.603515625
smf_z0,pca_0p99,512,11,10.75,409.59765625,512,6.0,0.9925253822060193,512,0.4821643414639576,0.008953411985215601,0.8415775150158278,1.550783260401027,0.5390625
smf_z0,pca_0p99,512,12,11.0,409.59765625,512,6.0,0.9925253822060193,512,0.5527534536046108,0.005007327739648661,0.8265813274237903,1.4776572886465071,0.49609375
smf_z0,pca_0p99,512,13,11.25,409.59765625,512,6.0,0.9925253822060193,512,0.613827988916418,-0.00222946966028896,0.7804307239645274,1.3182193884337314,0.544921875
