observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,4,9.75,-2.48,0.0510303444782522,-2.1667104523624623,0.12641108090923675
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,5,10.0,-2.59,0.04758057141795755,-2.2367626558024494,0.1616097837487937
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,6,10.25,-2.73,0.05422430948896547,-2.3006110682719347,0.21255543044692463
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,7,10.5,-2.64,0.03767295898922773,-2.408761127522652,0.2516971814228019
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,8,10.75,-2.7199999999999998,0.04292670823333299,-2.6356654303360885,0.2794428526256408
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,9,11.0,-3.01,0.05139680935005372,-3.1779807556898794,0.30078783146091914
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,10,11.25,-3.62,0.06979838494741979,-4.1128893206444035,0.3037303778267768
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,0,7.176091259055681,-1.2548312112854956,0.130493336169754,-1.3844332587295352,0.09048856002754305
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,1,7.301029995663981,-1.6000789981649997,0.11941405989069884,-1.3687225494125534,0.08365871446866303
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,2,7.414973347970818,-1.3525196308193832,0.0551227713848271,-1.3573101589318886,0.07670764789216246
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,3,7.544068044350276,-1.3065392744797073,0.03816103744721452,-1.3513379113161161,0.0729348488561988
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,4,7.672097857935717,-1.3143671899501175,0.03204927461666128,-1.3566636702053363,0.07220204964900123
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,5,7.799340549453582,-1.3502289006582016,0.027102806906128974,-1.3779462188794795,0.07299823231585965
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,6,7.924279286061882,-1.4306079042053748,0.03231670600148942,-1.4135393308534774,0.07497955017827171
sfr_function_robotham2011,starFormationRateFunctionRobotham2011,7,8.049218022670182,-1.3628186867612504,0.019898918921290486,-1.4567430311978327,0.07698037842125538
